ano,Mês,Região,Estado,publica,particular,Total,Taxa_Inclusao,Nivel_Atendimento,Projeção,Mês_Nome
2010,1,Centro-Oeste,DF,1784,444,2228,0.62,Médio,Não,Janeiro
2010,1,Centro-Oeste,GO,1769,421,2190,0.63,Baixo,Não,Janeiro
2010,1,Centro-Oeste,MS,1754,435,2189,0.62,Baixo,Não,Janeiro
2010,1,Centro-Oeste,MT,1707,439,2146,0.66,Baixo,Não,Janeiro
2010,1,Nordeste,AL,700,177,877,0.63,Baixo,Não,Janeiro
2010,1,Nordeste,BA,722,167,889,0.59,Médio,Não,Janeiro
2010,1,Nordeste,CE,688,176,864,0.63,Médio,Não,Janeiro
2010,1,Nordeste,MA,723,171,894,0.61,Médio,Não,Janeiro
2010,1,Nordeste,PB,708,163,871,0.62,Baixo,Não,Janeiro
2010,1,Nordeste,PE,684,172,856,0.67,Alto,Não,Janeiro
2010,1,Nordeste,PI,685,170,855,0.67,Baixo,Não,Janeiro
2010,1,Nordeste,RN,717,169,886,0.63,Alto,Não,Janeiro
2010,1,Nordeste,SE,708,167,875,0.62,Médio,Não,Janeiro
2010,1,Norte,AC,715,173,888,0.58,Alto,Não,Janeiro
2010,1,Norte,AM,689,171,860,0.59,Baixo,Não,Janeiro
2010,1,Norte,AP,728,173,901,0.56,Médio,Não,Janeiro
2010,1,Norte,PA,710,172,882,0.62,Baixo,Não,Janeiro
2010,1,Norte,RO,680,163,843,0.58,Médio,Não,Janeiro
2010,1,Norte,RR,704,164,868,0.65,Baixo,Não,Janeiro
2010,1,Norte,TO,717,170,887,0.63,Baixo,Não,Janeiro
2010,1,Sudeste,ES,2169,577,2746,0.73,Médio,Não,Janeiro
2010,1,Sudeste,MG,2390,564,2954,0.71,Médio,Não,Janeiro
2010,1,Sudeste,RJ,2253,566,2819,0.67,Médio,Não,Janeiro
2010,1,Sudeste,SP,2295,570,2865,0.7,Alto,Não,Janeiro
2010,1,Sul,PR,2473,623,3096,0.67,Baixo,Não,Janeiro
2010,1,Sul,RS,2695,658,3353,0.7,Médio,Não,Janeiro
2010,1,Sul,SC,2528,604,3132,0.62,Alto,Não,Janeiro
2010,2,Centro-Oeste,DF,1918,494,2412,0.66,Médio,Não,Fevereiro
2010,2,Centro-Oeste,GO,1844,482,2326,0.65,Médio,Não,Fevereiro
2010,2,Centro-Oeste,MS,1933,471,2404,0.61,Alto,Não,Fevereiro
2010,2,Centro-Oeste,MT,1979,495,2474,0.68,Baixo,Não,Fevereiro
2010,2,Nordeste,AL,780,182,962,0.67,Médio,Não,Fevereiro
2010,2,Nordeste,BA,789,187,976,0.67,Baixo,Não,Fevereiro
2010,2,Nordeste,CE,756,190,946,0.6,Médio,Não,Fevereiro
2010,2,Nordeste,MA,775,189,964,0.62,Médio,Não,Fevereiro
2010,2,Nordeste,PB,806,191,997,0.61,Baixo,Não,Fevereiro
2010,2,Nordeste,PE,776,182,958,0.62,Baixo,Não,Fevereiro
2010,2,Nordeste,PI,807,182,989,0.65,Médio,Não,Fevereiro
2010,2,Nordeste,RN,764,188,952,0.61,Baixo,Não,Fevereiro
2010,2,Nordeste,SE,734,182,916,0.67,Alto,Não,Fevereiro
2010,2,Norte,AC,768,182,950,0.62,Baixo,Não,Fevereiro
2010,2,Norte,AM,771,183,954,0.59,Baixo,Não,Fevereiro
2010,2,Norte,AP,786,182,968,0.57,Médio,Não,Fevereiro
2010,2,Norte,PA,772,183,955,0.63,Médio,Não,Fevereiro
2010,2,Norte,RO,765,183,948,0.64,Alto,Não,Fevereiro
2010,2,Norte,RR,781,184,965,0.64,Médio,Não,Fevereiro
2010,2,Norte,TO,807,184,991,0.59,Alto,Não,Fevereiro
2010,2,Sudeste,ES,2456,606,3062,0.65,Baixo,Não,Fevereiro
2010,2,Sudeste,MG,2544,644,3188,0.73,Baixo,Não,Fevereiro
2010,2,Sudeste,RJ,2391,603,2994,0.73,Alto,Não,Fevereiro
2010,2,Sudeste,SP,2438,610,3048,0.7,Alto,Não,Fevereiro
2010,2,Sul,PR,2920,676,3596,0.66,Médio,Não,Fevereiro
2010,2,Sul,RS,2919,716,3635,0.69,Médio,Não,Fevereiro
2010,2,Sul,SC,2834,717,3551,0.64,Alto,Não,Fevereiro
2010,3,Centro-Oeste,DF,2251,547,2798,0.65,Baixo,Não,Março
2010,3,Centro-Oeste,GO,2255,542,2797,0.68,Médio,Não,Março
2010,3,Centro-Oeste,MS,2194,546,2740,0.63,Baixo,Não,Março
2010,3,Centro-Oeste,MT,2272,534,2806,0.67,Baixo,Não,Março
2010,3,Nordeste,AL,902,214,1116,0.63,Baixo,Não,Março
2010,3,Nordeste,BA,841,215,1056,0.61,Baixo,Não,Março
2010,3,Nordeste,CE,878,223,1101,0.65,Alto,Não,Março
2010,3,Nordeste,MA,891,216,1107,0.67,Baixo,Não,Março
2010,3,Nordeste,PB,833,208,1041,0.64,Baixo,Não,Março
2010,3,Nordeste,PE,871,211,1082,0.66,Médio,Não,Março
2010,3,Nordeste,PI,887,203,1090,0.64,Médio,Não,Março
2010,3,Nordeste,RN,886,222,1108,0.67,Médio,Não,Março
2010,3,Nordeste,SE,850,222,1072,0.65,Médio,Não,Março
2010,3,Norte,AC,867,208,1075,0.63,Baixo,Não,Março
2010,3,Norte,AM,858,208,1066,0.62,Baixo,Não,Março
2010,3,Norte,AP,854,207,1061,0.62,Médio,Não,Março
2010,3,Norte,PA,827,214,1041,0.56,Médio,Não,Março
2010,3,Norte,RO,834,205,1039,0.56,Médio,Não,Março
2010,3,Norte,RR,883,207,1090,0.55,Baixo,Não,Março
2010,3,Norte,TO,846,207,1053,0.58,Médio,Não,Março
2010,3,Sudeste,ES,2905,723,3628,0.69,Médio,Não,Março
2010,3,Sudeste,MG,2900,718,3618,0.74,Alto,Não,Março
2010,3,Sudeste,RJ,2717,689,3406,0.67,Alto,Não,Março
2010,3,Sudeste,SP,2743,708,3451,0.67,Alto,Não,Março
2010,3,Sul,PR,3056,782,3838,0.67,Médio,Não,Março
2010,3,Sul,RS,3245,793,4038,0.69,Baixo,Não,Março
2010,3,Sul,SC,3212,759,3971,0.65,Baixo,Não,Março
2010,4,Centro-Oeste,DF,2400,583,2983,0.61,Médio,Não,Abril
2010,4,Centro-Oeste,GO,2447,563,3010,0.6,Baixo,Não,Abril
2010,4,Centro-Oeste,MS,2369,576,2945,0.69,Baixo,Não,Abril
2010,4,Centro-Oeste,MT,2426,575,3001,0.67,Médio,Não,Abril
2010,4,Nordeste,AL,985,241,1226,0.66,Médio,Não,Abril
2010,4,Nordeste,BA,978,240,1218,0.66,Médio,Não,Abril
2010,4,Nordeste,CE,953,229,1182,0.65,Baixo,Não,Abril
2010,4,Nordeste,MA,935,237,1172,0.6,Médio,Não,Abril
2010,4,Nordeste,PB,947,228,1175,0.61,Médio,Não,Abril
2010,4,Nordeste,PE,931,247,1178,0.59,Médio,Não,Abril
2010,4,Nordeste,PI,958,225,1183,0.65,Alto,Não,Abril
2010,4,Nordeste,RN,954,247,1201,0.65,Alto,Não,Abril
2010,4,Nordeste,SE,954,228,1182,0.58,Médio,Não,Abril
2010,4,Norte,AC,955,225,1180,0.63,Baixo,Não,Abril
2010,4,Norte,AM,943,232,1175,0.58,Baixo,Não,Abril
2010,4,Norte,AP,937,233,1170,0.64,Médio,Não,Abril
2010,4,Norte,PA,1006,234,1240,0.63,Baixo,Não,Abril
2010,4,Norte,RO,986,234,1220,0.56,Médio,Não,Abril
2010,4,Norte,RR,983,233,1216,0.57,Médio,Não,Abril
2010,4,Norte,TO,947,229,1176,0.55,Alto,Não,Abril
2010,4,Sudeste,ES,3155,751,3906,0.69,Alto,Não,Abril
2010,4,Sudeste,MG,3249,733,3982,0.65,Alto,Não,Abril
2010,4,Sudeste,RJ,3239,749,3988,0.7,Baixo,Não,Abril
2010,4,Sudeste,SP,3075,806,3881,0.65,Alto,Não,Abril
